City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sioux Lookout,50.1001,-91.917,15.87,79,40,6.91,CA,1675825501
1,San Andrés,12.5847,-81.7006,80.62,78,40,16.11,CO,1675825252
2,Crateús,-5.1783,-40.6775,72.18,74,99,2.48,BR,1675825300
3,Arman',59.7,150.1667,-11.99,75,33,7.67,RU,1675825506
4,Hithadhoo,-0.6,73.0833,81.19,72,15,7.52,MV,1675825509
5,Scărişoara,44.0,24.5667,28.83,77,54,3.44,RO,1675825510
6,Cape Town,-33.9258,18.4232,70.21,73,20,11.99,ZA,1675825512
7,Port Hardy,50.6996,-127.4199,39.38,93,75,5.75,CA,1675825243
8,Mount Gambier,-37.8333,140.7667,73.53,44,14,11.39,AU,1675825515
9,Saint Paul Harbor,57.79,-152.4072,24.31,54,0,10.36,US,1675825516
10,Arraial do Cabo,-22.9661,-42.0278,74.75,92,100,2.33,BR,1675825517
11,Ḩasanābād,36.5465,61.0543,53.83,55,97,9.13,IR,1675825519
12,Lavrentiya,65.5833,-171.0,-14.75,92,97,2.93,RU,1675825521
13,Hobart,-42.8794,147.3294,62.46,69,75,13.8,AU,1675825522
14,Solnechnyy,50.7214,136.6319,-3.73,79,85,6.96,RU,1675825524
15,Portland,45.5234,-122.6762,46.89,88,16,4.0,US,1675825234
16,Jamestown,42.097,-79.2353,37.04,93,100,13.8,US,1675825527
17,Nikolskoye,59.7035,30.7861,30.09,86,100,10.04,RU,1675825529
18,Brae,60.3964,-1.353,44.24,73,100,30.78,GB,1675825530
19,Punta Arenas,-53.15,-70.9167,53.71,76,0,3.44,CL,1675825532
20,Makakilo City,21.3469,-158.0858,76.75,74,75,10.36,US,1675825299
21,San Patricio,28.017,-97.5169,71.89,82,92,13.49,US,1675825276
22,Busselton,-33.65,115.3333,78.98,44,0,1.61,AU,1675825535
23,Guarapari,-20.6667,-40.4975,76.89,95,100,5.21,BR,1675825537
24,Ushuaia,-54.8,-68.3,49.66,76,20,12.66,AR,1675825520
25,Bonavista,48.6499,-53.1147,25.09,69,92,22.03,CA,1675825541
26,Severo-Kuril'sk,50.6789,156.125,24.91,55,15,9.57,RU,1675825542
27,Komatipoort,-25.4332,31.9548,73.06,96,85,3.29,ZA,1675825409
28,Tiksi,71.6872,128.8694,-34.17,99,99,5.99,RU,1675825544
29,Nabannagan West,18.0715,121.5338,78.3,87,68,5.53,PH,1675825546
30,Vardø,70.3705,31.1107,30.18,80,10,24.16,NO,1675825548
31,Innisfail,-17.5333,146.0333,82.11,88,100,10.74,AU,1675825550
32,Hong Kong,22.2855,114.1577,68.97,83,97,13.0,HK,1675825546
33,Constitución,-35.3333,-72.4167,59.92,69,0,9.71,CL,1675825552
34,Inírida,3.8653,-67.9239,74.25,93,84,2.33,CO,1675825554
35,Menongue,-14.6585,17.691,61.43,82,100,3.31,AO,1675825555
36,College,64.8569,-147.8028,6.78,78,75,0.0,US,1675825558
37,At-Bashi,41.1702,75.8106,3.43,61,37,4.34,KG,1675825559
38,Castro,-24.7911,-50.0119,61.5,95,71,5.26,BR,1675825560
39,Kaupanger,61.1845,7.2404,38.71,99,98,4.83,NO,1675825562
40,Itoman,26.1247,127.6694,71.62,68,20,14.97,JP,1675825564
41,Rikitea,-23.1203,-134.9692,79.84,69,37,9.04,PF,1675825567
42,Saint-Philippe,-21.3585,55.7679,78.39,83,89,13.35,RE,1675825569
43,Kyren,51.6828,102.1408,10.45,74,49,0.25,RU,1675825570
44,Provideniya,64.3833,-173.3,-3.89,71,100,6.71,RU,1675825316
45,New Norfolk,-42.7826,147.0587,62.1,32,5,4.54,AU,1675825573
46,Roebourne,-20.7833,117.1333,94.06,39,60,9.84,AU,1675825575
47,Torbay,47.6666,-52.7314,26.38,86,75,24.16,CA,1675825578
48,Port Alfred,-33.5906,26.891,69.19,90,100,4.0,ZA,1675825579
49,Mataura,-46.1927,168.8643,58.08,51,64,11.68,NZ,1675825557
50,Ngunguru,-35.6167,174.5,72.59,57,54,3.67,NZ,1675825582
51,Hilo,19.7297,-155.09,77.29,88,100,10.36,US,1675825554
52,Albany,42.6001,-73.9662,35.22,78,97,3.0,US,1675825538
53,Vaini,-21.2,-175.2,84.36,79,40,5.75,TO,1675825562
54,Locharbriggs,55.1034,-3.5844,44.96,96,100,11.05,GB,1675825587
55,Esperance,-33.8667,121.9,71.62,64,78,11.65,AU,1675825588
56,Cidreira,-30.1811,-50.2056,75.36,81,10,14.34,BR,1675825590
57,Porto da Folha,-9.9172,-37.2783,76.01,73,100,5.61,BR,1675825593
58,San Cristobal,7.7669,-72.225,69.98,78,12,1.74,VE,1675825594
59,Nelson Bay,-32.7167,152.15,82.45,62,49,3.0,AU,1675825596
60,Avarua,-21.2078,-159.775,84.25,74,34,10.36,CK,1675825441
61,Imbituba,-28.24,-48.6703,71.38,89,21,6.06,BR,1675825446
62,Hamilton,39.1834,-84.5333,52.09,91,100,6.91,US,1675825360
63,Dohad,22.8333,74.2667,66.22,26,1,5.95,IN,1675825601
64,Shenjiamen,29.9576,122.298,49.55,77,92,11.41,CN,1675825603
65,Saryg-Sep,51.5,95.6,-3.14,96,99,1.92,RU,1675825604
66,Kaitangata,-46.2817,169.8464,58.91,49,18,14.99,NZ,1675825606
67,Bolobo,-2.1667,16.2333,72.64,83,49,3.62,CD,1675825608
68,Bethel,41.3712,-73.414,37.76,84,100,0.0,US,1675825610
69,Vila Velha,-20.3297,-40.2925,76.95,90,40,2.3,BR,1675825612
70,Masuguru,-11.3667,38.4167,70.81,99,93,3.38,TZ,1675825614
71,Bluff,-46.6,168.3333,54.61,64,49,27.0,NZ,1675825615
72,Yulara,-25.2406,130.9889,98.11,16,0,7.47,AU,1675825617
73,Gizo Government Station,-8.103,156.8419,84.56,73,100,12.48,SB,1675825618
74,Nhulunbuy,-12.2333,136.7667,86.61,74,75,5.75,AU,1675825619
75,Havre-St-Pierre,50.2334,-63.5986,19.76,73,100,11.5,CA,1675825621
76,Mount Isa,-20.7333,139.5,91.17,49,75,4.61,AU,1675825622
77,Touros,-5.1989,-35.4608,77.68,74,100,11.97,BR,1675825624
78,Dikson,73.5069,80.5464,-6.27,91,100,22.73,RU,1675825625
79,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,100,3.44,CA,1675825568
80,Gijang,35.2442,129.2139,51.04,25,15,4.72,KR,1675825628
81,Hofn,64.2539,-15.2082,32.85,60,100,18.3,IS,1675825402
82,Pizarro,4.9533,-77.366,77.4,89,35,2.28,CO,1675825631
83,Port Elizabeth,-33.918,25.5701,67.32,92,100,3.0,ZA,1675825633
84,Qaanaaq,77.484,-69.3632,-25.42,67,6,6.13,GL,1675825585
85,Fauske,67.2588,15.3918,42.84,79,94,11.86,NO,1675825636
86,Kaithal,29.8,76.3833,53.02,45,10,5.37,IN,1675825638
87,Chokurdakh,70.6333,147.9167,-35.82,99,100,3.44,RU,1675825583
88,Saint-Augustin,51.226,-58.6502,-3.23,87,15,5.03,CA,1675825642
89,Aksu,41.1231,80.2644,25.27,64,8,4.54,CN,1675825643
90,Butaritari,3.0707,172.7902,81.05,81,100,21.61,KI,1675825644
